BillURL,SessionYr,BillName,StageName,StageDate,StageLink
http://services.parliament.uk//bills/2010-12/armedforces.html,2010-12,Armed Forces Act,Ping Pong: House of Lords,26.10.2011,http://www.publications.parliament.uk/pa/ld201011/ldhansrd/text/111026-0003.htm#11102676000033
http://services.parliament.uk//bills/2010-12/armedforces.html,2010-12,Armed Forces Act,Royal Assent,03.11.2011,
http://services.parliament.uk//bills/2010-12/armedforcesgermany.html,2010-12,Armed Forces (Germany) Bill,1st reading: House of Commons,31.01.2012,http://www.publications.parliament.uk/pa/cm201212/cmhansrd/cm120131/debtext/120131-0002.htm#column_706
http://services.parliament.uk//bills/2010-12/armedforcesleave.html,2010-12,Armed Forces (Leave) Bill,1st reading: House of Commons,05.07.2010,http://www.publications.parliament.uk/pa/cm201011/cmhansrd/cm100705/debtext/100705-0002.htm#10070540000002
http://services.parliament.uk//bills/2010-12/armedforcescharter.html,2010-12,Armed Forces Charter Bill,1st reading: House of Commons,09.11.2010,http://www.publications.parliament.uk/pa/cm201011/cmhansrd/cm101109/debtext/101109-0001.htm#10110951000002
http://services.parliament.uk//bills/2010-12/autismqualitystandards.html,2010-12,Autism (Quality Standards) Bill,1st reading: House of Commons,24.05.2011,http://www.publications.parliament.uk/pa/cm201011/cmhansrd/cm110524/debtext/110524-0002.htm#11052459000003
http://services.parliament.uk//bills/2010-12/bailamendment.html,2010-12,Bail (Amendment) Bill,1st reading: House of Commons,28.06.2011,http://www.publications.parliament.uk/pa/cm201011/cmhansrd/cm110628/debtext/110628-0002.htm#11062856000001
http://services.parliament.uk//bills/2010-12/bankofirelandukplc.html,2010-12,Bank of Ireland (UK) plc Act,Petition to introduce a Private Bill presented to Parliament,29.11.2010,http://www.publications.parliament.uk/pa/ld201011/minutes/101201/ldordpap.htm#minproc
http://services.parliament.uk//bills/2010-12/bankofirelandukplc.html,2010-12,Bank of Ireland (UK) plc Act,1st reading: House of Commons,24.01.2011,
http://services.parliament.uk//bills/2010-12/bankofirelandukplc.html,2010-12,Bank of Ireland (UK) plc Act,2nd reading: House of Commons,01.02.2011,
http://services.parliament.uk//bills/2010-12/bankofirelandukplc.html,2010-12,Bank of Ireland (UK) plc Act,Unopposed Bill Committee - day 1: House of Commons,01.02.2011,http://www.publications.parliament.uk/pa/cm201011/cmprbill/bankire/260411.htm
http://services.parliament.uk//bills/2010-12/bankofirelandukplc.html,2010-12,Bank of Ireland (UK) plc Act,Unopposed Bill Committee - day 2: House of Commons,13.09.2011,http://www.publications.parliament.uk/pa/cm201011/cmprbill/bankire/biev01.htm
http://services.parliament.uk//bills/2010-12/bankofirelandukplc.html,2010-12,Bank of Ireland (UK) plc Act,Report stage: House of Commons,13.10.2011,
http://services.parliament.uk//bills/2010-12/bankofirelandukplc.html,2010-12,Bank of Ireland (UK) plc Act,3rd reading: House of Commons,27.10.2011,
http://services.parliament.uk//bills/2010-12/bankofirelandukplc.html,2010-12,Bank of Ireland (UK) plc Act,1st reading: House of Lords,27.10.2011,http://www.publications.parliament.uk/pa/ld201012/minutes/111031/ldordpap.htm#minproc
http://services.parliament.uk//bills/2010-12/bankofirelandukplc.html,2010-12,Bank of Ireland (UK) plc Act,2nd reading: House of Lords,15.11.2011,
http://services.parliament.uk//bills/2010-12/bankofirelandukplc.html,2010-12,Bank of Ireland (UK) plc Act,Uncorrected transcript of the proceedings of the HL Unopposed Bill Committee on the Bank of Ireland (UK) plc Bill: House of Lords,13.12.2011,http://www.publications.parliament.uk/pa/cm201012/cmprbill/bankire/ubc131211.htm
http://services.parliament.uk//bills/2010-12/bankofirelandukplc.html,2010-12,Bank of Ireland (UK) plc Act,3rd reading: House of Lords,21.12.2011,
http://services.parliament.uk//bills/2010-12/bankofirelandukplc.html,2010-12,Bank of Ireland (UK) plc Act,Royal Assent,08.03.2012,http://www.publications.parliament.uk/pa/ld201212/minutes/120312/ldordpap.htm#minproc
http://services.parliament.uk//bills/2010-12/bankingdisclosureresponsibilityandeducation.html,2010-12,"Banking (Disclosure, Responsibility and Education) Bill",1st reading: House of Commons,26.03.2012,http://www.publications.parliament.uk/pa/cm201212/cmhansrd/cm120326/debtext/120326-0002.htm#1203264000002
http://services.parliament.uk//bills/2010-12/bankingandfinancialservicescommunityinvestment.html,2010-12,Banking and Financial Services (Community Investment) Bill,1st reading: House of Commons,14.12.2010,http://www.publications.parliament.uk/pa/cm201011/cmhansrd/cm101214/debtext/101214-0002.htm#10121446000001
http://services.parliament.uk//bills/2010-12/bbclicencefeepayersvotingrights.html,2010-12,BBC Licence Fee Payers (Voting Rights) Bill,1st reading: House of Commons,08.02.2011,http://www.publications.parliament.uk/pa/cm201011/cmhansrd/cm110208/debtext/110208-0001.htm#11020841000002
