BillURL,SessionYr,DateAccessed,BillName,BillType,BillCat,LastChange,Stage,Sponsor1,Sponsor2,Sponsor1Inst,Sponsor2Inst,Agent,Promoter,LastStg,LastStgDate,NextStg,NextStgDate,BillTxtLnk1,BillTxtLnk2,BillTxtDate,BillTxtTitle,LatestNews,Summary,mpnameuseful,mpid_twfy,mpid_grdn,mpparty,mpmajority,mpentered,mpyearentered,mpconstituency,constid_grdn,mpmatch
http://services.parliament.uk//bills/2009-10/allhallowsstainingchurchhl.html,2009-10,20120508,Allhallows Staining Church Act,Private Bill,PB,15.07.2011,Royal Assent,NA,NA,NA,NA,Bircham Dyson Bell LLP,The Clothworkers' Company,Royal Assent,27.07.2010,,,http://www.publications.parliament.uk,,28.07.2010,Allhallows Staining Church Act 2010,," u'\n'  The Bill received Royal Assent on 27 July 2010. It is now an Act of Parliament (i.e. it has become law): Allhallows Staining Church Act 2010 (Chapter v). There will be no further opportunities to present petitions against this Bill.  u'\n'  Summary of the Bill  u'\n'  This Bill removes certain statutory restrictions applying to land which makes up the site of the former church of Allhallows Staining, its churchyard, and other adjoining land in the City of London. It would:    repeal sections 4(2)(b) to (e) of the Allhallows Staining Churchyard Act 1961 to remove certain restrictions placed by the 1961 Act on the churchyard relating to the licensing process when seeking to disturb a grave; accessing a grave in the churchyard; access rights of the incumbent of the united benefices of St Olave Hart Street, Allhallows Staining and St Katherine Coleman; and the erection of buildings on the churchyard  make provision for the legal use, development or disposal of the land stipulated in the Bill. It would, however, be necessary to obtain permissions from any individuals affected along with the normal planning and listed building consents</li><li>impose detailed procedures to be followed by the company (the Livery Company known as the Clothworkers’ Company - the sponsor of the Bill) when seeking to remove human remains</li><li>make provision for the removal and re-erection of tombstones and memorials. The selection of the new location would be agreed by the relative of the deceased person or their representative</li></ul> u'\n'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://services.parliament.uk//bills/2009-10/ambulanceresponsetimeslocalreporting.html,2009-10,20120508,Ambulance Response Times (Local Reporting) Bill,"Private Members' Bill (under the Ten Minute Rule, SO No 23)",PMB-C,12.04.2010,Commons,Mr Edward Timpson,NA,,NA,NA,NA,1st reading: House of Commons,26.01.2010,,,http://www.publications.parliament.uk/pa/cm200910/cmbills/055/10055.1-i.html,http://www.publications.parliament.uk/pa/cm200910/cmbills/055/2010055.pdf,08.04.2010,Bill 55 09 - 10 (as introduced),, u'\r\n            A Bill to require ambulance services to provide more accessible and localised reports of ambulance response times; and for connected purposes\r\n        ',Edward Timpson,14128,11185,Conservative,6046,2008-05-23,2008,Crewe and Nantwich,852,OK
http://services.parliament.uk//bills/2009-10/antislaveryday.html,2009-10,20120508,Anti-Slavery Day Act,Private Members' Bill (Ballot Bill),PMB-C,26.10.2010,Royal Assent,Mr Anthony Steen,Baroness Butler-Sloss,,,NA,NA,Royal Assent,08.04.2010,,,http://www.opsi.gov.uk/acts/acts2010/ukpga_20100014_en_1,http://www.opsi.gov.uk/acts/acts2010/pdf/ukpga_20100014_en.pdf,09.04.2010,Anti-Slavery Day Act 2010 c.14 ,, u'\r\n            The Bill would require the Secretary of State to specify a date to be observed each year as Anti-Slavery Day. The purpose of the day would be to raise awareness of the dangers and consequences of modern-day slavery and human trafficking.\r\n        ',Anthony Steen,NA,NA,NA,NA,NA,NA,NA,NA,MPNotFound
http://services.parliament.uk//bills/2009-10/consolidatedfundappropriation.html,2009-10,20120508,Appropriation Act,Government Bill,G,28.03.2012,Royal Assent,Mr Chancellor of the Exchequer,Lord Myners,HM Treasury,HM Treasury,NA,NA,Royal Assent,18.03.2010,,,http://www.opsi.gov.uk/acts/acts2010/ukpga_20100005_en_1,http://www.opsi.gov.uk/acts/acts2010/pdf/ukpga_20100005_en.pdf,23.03.2010,Appropriation Act 2010 c.5,Following agreement by both Houses on the text of the Bill it received Royal Assent on 18 March. The Bill is now an Act of Parliament (law).," u'\n'  The Bill provides parliamentary authority for funds requested by the Government. It is part of the 'supply procedure', which is how Parliament grants the Government’s requests for resources.   Two Consolidated Fund (Appropriation) Bills are passed each year, in March and July. They are sometimes referred to simply as 'Appropriation Bills'. These, together with the Consolidated Fund Bill, provide authorisation from Parliament for the resources sought by the Government. Proceedings on the Bill are formal - there is no debate and the Bill goes through 'on the nod'.    Key areas     authorises provision sought in the Spring Supplementary Estimates for 2009/10 and the Statement of Excesses for 2008/09</li><li>authorises the release of money from the Consolidated Fund, which is the Government’s bank account</li><li>places limits on the purposes for which the money may be spent</li></ul> u'\n'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://services.parliament.uk//bills/2009-10/appropriation.html,2009-10,20120508,Appropriation (No. 2) Act,Government Bill,G,28.03.2012,Royal Assent,Mr Stephen Timms,Lord Myners,HM Treasury,HM Treasury,NA,NA,Royal Assent,08.04.2010,,,http://www.opsi.gov.uk/acts/acts2010/ukpga_20100012_en_1,http://www.opsi.gov.uk/acts/acts2010/pdf/ukpga_20100012_en.pdf,09.04.2010,Appropriation (No. 2) Act 2010 c.12 ,," u'\n'  This Bill provides Parliamentary authority for funds requested by the Government. It is part of the 'supply procedure', which is how Parliament grants the Government’s requests for resources.     Consolidated Fund (Appropriation) Bills are usually passed in March and July each year, but this Bill was introduced earlier due to the General Election. These Bills are sometimes referred to simply as 'Appropriation Bills'. They, together with the Consolidated Fund Bill, provide authorisation from Parliament for the resources sought by the Government. Proceedings on the Bill are formal (ie there is no debate and the Bill goes through 'on the nod'). Once passed, the Bill becomes the Appropriation (No. 2) Act.  u'\n'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://services.parliament.uk//bills/2009-10/armeniangenocideremembranceday.html,2009-10,20120508,Armenian Genocide Remembrance Day Bill,Private Members' Bill (Presentation Bill),PMB-C,12.04.2010,Commons,Mr Andrew Dismore,NA,,NA,NA,NA,1st reading: House of Commons,06.01.2010,,,,,,,, u'\r\n            A Bill to introduce a national day to learn about and remember the Armenian genocide.\r\n\r\n        ',Andrew Dismore,NA,NA,NA,NA,NA,NA,NA,NA,MPNotFound
http://services.parliament.uk//bills/2009-10/beverleyfreemenhl.html,2009-10,20120508,Beverley Freemen Act,Private Bill,PB,18.03.2010,Royal Assent,NA,NA,NA,NA,Winckworth Sherwood,East Riding of Yorkshire Council,Royal Assent,21.01.2010,,,http://www.opsi.gov.uk/acts/localact2010/ukla_20100001_en_1,http://www.opsi.gov.uk/acts/localact2010/pdf/ukla_20100001_en.pdf,25.02.2010,Beverley Freemen Act 2010 c.i,," u'\n'  If you are ""specially and directly affected"" by this bill you may oppose the bill or seek its amendment before a Select Committee in either or both Houses.  If you present a ""petition"" against the bill at the appropriate times you may be able to have your views on the bill heard by the Committee (in whichever House you petition).There are specific times when petitions can be presented.     The petitioning period in the House of Lords ended on 6 February 2009.     The   petitioning period in the House of Commons ended on 7 December 2009.       No petitions were presented to either House.    u'\n'  Summary of the Bill  u'\n'  The Bill relates to the Freemen of Beverley (the former county town of the East Riding), their entitlement to be enrolled as Pasture Freemen and to the appointment from amongst the Pasture Freemen of the Beverley Pasture Master.   The Bill would:     re-state the categories of person entitled by birthright to be enrolled as a Beverley Freeman so as to extend entitlement to the daughter of a Freeman and to any person born before the Freeman parent became a Freeman   <ul><li>remove the requirement for a Freeman to be born in the former municipal borough</li></ul> <ul><li>make entitlement to be enrolled as a Pasture Freeman dependent upon residence in an extended area that includes the whole of Beverley as it presently exists</li></ul> <ul><li>modify the Beverley Common Pastures Act 1836 and the 1813 Order to reflect these changes.</li></ul> u'\n'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://services.parliament.uk//bills/2009-10/bilingualjurieswales.html,2009-10,20120508,Bilingual Juries (Wales) Bill,Private Members' Bill (Presentation Bill),PMB-C,09.04.2010,Commons,Hywel Williams,NA,,NA,NA,NA,1st reading: House of Commons,01.03.2010,,,,,,,, u'\r\n            A Bill to amend section 10 of the Juries Act 1974 to provide that in certain cases all members of a jury be bilingual in Welsh and English; and for connected purposes.\r\n\r\n        ',Hywel Williams,11323,6958,Plaid Cymru,1455,2001-06-07,2001,Arfon,1472,OK
http://services.parliament.uk//bills/2009-10/bournemouthboroughcouncilhl.html,2009-10,20120508,Bournemouth Borough Council Act,Private Bill,PB,21.10.2011,Royal Assent,NA,NA,NA,NA,Sharpe Pritchard,Bournemouth Borough Council,Royal Assent,08.04.2010,,,http://www.opsi.gov.uk/acts/localact2010/ukla_20100002_en_1,http://www.opsi.gov.uk/acts/localact2010/pdf/ukla_20100002_en.pdf,12.04.2010,Bournemouth Borough Council Act 2010 c.ii ,," u'\n'  There will be no further opportunities to petition against this Bill.    Lords petitioning period ended 6.2.07  Commons petitioning period ended 10.12.07    The Bill was opposed in both Houses. 12 petition was deposited against the Bill in the House of Lords and 3 petitions in the House of Commons.   To see the petitions follow the ""bill documents"" link on the left hand side of this page.  u'\n'  Summary of the Bill  u'\n'  The Bill makes provisions relating to street trading and consumer protection in the area, in particular by:    allowing the Council to regulate services offered on the street as well as the sale of goods   altering the exemption enjoyed by holders of a pedlar’s certificate from the street trading regime in the Local Government (Miscellaneous Provisions) Act 1982  empowering council officers or the police to seize goods and equipment when they believe a street trading offence has been committed  empowering courts to order the forfeiture of such articles  enabling council officers to serve fixed penalty notices for street trading offences.</li></ul> <p>This Bill has been carried over from the previous Session.</p> <p>Further information can be found in the Explanatory Memorandum that accompanies the Bill.</p> <p><a href=""http://www.publications.parliament.uk/pa/ld200708/ldprbill/003/07003x--.htm"">Read the Explanatory Memorandum</a> </p> u'\n'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://services.parliament.uk//bills/2009-10/briberyhl.html,2009-10,20120508,Bribery Act,Government Bill,G,17.08.2010,Royal Assent,Lord Bach,Jack Straw,Ministry of Justice,Ministry of Justice,NA,NA,Royal Assent,08.04.2010,,,http://www.opsi.gov.uk/acts/acts2010/ukpga_20100023_en_1,http://www.opsi.gov.uk/acts/acts2010/pdf/ukpga_20100023_en.pdf,09.04.2010,Bribery Act 2010 c.23 ,Following agreement by both Houses on the text of the Bill it received Royal Assent on 8 April. The Bill is now an Act of Parliament (law).," u'\n'  The purpose of the Bill is to provide a modern and comprehensive scheme of bribery offences to equip prosecutors and courts to deal effectively with bribery in the UK and abroad.    Key areas     replaces old and fragmented legislation with a modern and consolidated bribery law, based on the recommendations of the Law Commission</li><li>creates offences of offering, promising or giving of a bribe and requesting, agreeing to receive or accepting of a bribe either in the UK or abroad, in the public or private sectors</li><li>creates a discrete offence of bribery of a foreign public official in order to obtain or retain business</li><li>creates a new offence in relation to commercial organisations which fail to prevent a bribe being paid by those who perform services for or on behalf of the organisation. It will, however, be a defence if an organisation has adequate procedures in place to prevent bribery</li></ul> u'\n'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://services.parliament.uk//bills/2009-10/britishmuseumact1963amendment.html,2009-10,20120508,British Museum Act 1963 (Amendment) Bill,Private Members' Bill (Presentation Bill),PMB-C,12.04.2010,Commons,Mr Andrew Dismore,NA,,NA,NA,NA,1st reading: House of Commons,06.01.2010,,,http://www.publications.parliament.uk/pa/cm200910/cmbills/037/10037.i-i.html,http://www.publications.parliament.uk/pa/cm200910/cmbills/037/2010037.pdf,09.02.2010,Bill 37 09-10 (As Presented),," u'\n'  At present the British Museum is prevented by statute from disposing of objects in its collections except in very limited circumstances. The Bill’s purpose is to amend the British Museum Act 1963 to enable the British Museum to transfer to another institution, for public exhibition, any object from its collections, in certain circumstances, where public access is guaranteed. Those circumstances are:    where the object would be more widely accessible to visitors than in the British Museum  where it would be more appropriately displayed in the recipient institution than in the British Museum by reason of its historic links  where the object came to form part of the collections of the British Museum in circumstances which make its retention in the collections undesirable or inappropriate</li></ul> <p>The Bill confers a general power but its sponsor envisages only one situation in which it might realistically apply: to repatriate the Parthenon Marbles to Greece.</p> u'\n'",Andrew Dismore,NA,NA,NA,NA,NA,NA,NA,NA,MPNotFound
http://services.parliament.uk//bills/2009-10/buildingregulationsamendmenthl.html,2009-10,20120508,Building Regulations (Amendment)  Bill [HL],Private Members' Bill (Starting in the House of Lords),PMB-L,09.04.2010,Lords,Lord Harrison,NA,,NA,NA,NA,Report stage: House of Lords,22.03.2010,,,http://www.publications.parliament.uk/pa/ld200910/ldbills/010/10010.1-i.html,http://www.publications.parliament.uk/pa/ld200910/ldbills/010/2010010.pdf,20.11.2009,Bill 10 09-10,," u'\n'  The Building Regulations (Amendment) Bill proposes that all new residential premises must be fitted with an automatic fire suppression system.      Key areas     The Bill would amend the Building Regulations 2000, SI 2000/2531, to make it a requirement that new residential premises are built with automatic fire suppression systems. </ul> <ul><li>The requirement would apply to England and Wales only.</li></ul> u'\n'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://services.parliament.uk//bills/2009-10/canterburycitycouncil.html,2009-10,20120508,Canterbury City Council Bill,Private Bill,PB,29.03.2012,Lords,NA,NA,NA,NA,Sharpe Pritchard,Canterbury City Council,Committee stage: House of Lords,24.11.2011,3rd reading: House of Lords,Date to be announced,,,,,," u'\n'   The petitioning period in the House of Commons ended on 30 January 2008.   The petitioning period in the House of Lords ended on 8 February 2010.    u'There will be no further opportunity to petition against the Bill in\xa0Parliament. '  No petitions were deposited against the Bill in the House of Commons, 1 petition was deposited in the House of Lords. Petitions can be accessed from the ""Bill documents"" link on the left hand side of this webpage.  u'\n'  Summary of the Bill  u'\n'  The Bill makes provisions relating to street trading and consumer protection in the city, in particular by:    allowing the Council to regulate services offered on the street as well as the sale of goods   altering the exemption enjoyed by holders of a pedlar’s certificate from the street trading regime in the Local Government (Miscellaneous Provisions) Act 1982 </li><li>empowering council officers, the police and community support officers to seize goods and equipment when they believe a street trading offence has been committed </li><li>empowering courts to order the forfeiture of such articles</li><li>allowing the council to regulate touting</li><li>enabling council officers, the police and community support officers to serve fixed penalty notices for street trading offences.</li></ul> u'\n'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://services.parliament.uk//bills/2009-10/carehomesandshelteredaccommodationdomesticpets.html,2009-10,20120508,Care Homes and Sheltered Accommodation (Domestic Pets) Bill,Private Members' Bill (Ballot Bill),PMB-C,12.04.2010,Commons,Mr Nigel Waterson,NA,,NA,NA,NA,2nd reading: House of Commons,05.03.2010,,,http://www.publications.parliament.uk/pa/cm200910/cmbills/027/10027.i-i.html,http://www.publications.parliament.uk/pa/cm200910/cmbills/027/2010027.pdf,02.03.2010,Bill 27 09-10 as introduced,," u'\r\n            The\xa0Bill would make provision for residents of care homes and sheltered accommodation to keep domestic pets. It stipulates the\xa0 circumstances in which operators of care homes and sheltered accommodation could refuse permission for domestic pets to be kept, and the right of appeal by residents against such a refusal.\r\n        '",Nigel Waterson,NA,NA,NA,NA,NA,NA,NA,NA,MPNotFound
