BillURL,SessionYr,DateAccessed,BillName,BillType,BillCat,UKPB_Bill,UKPB_Act,RoyalAssent,RoyalAssentDate,LastChange,Stage,NumberofStages,firststagedate,laststagedate,Sponsor1,Sponsor2,Sponsor1Inst,Sponsor2Inst,Agent,Promoter,LatestStg,LastStgDate,NextStg,NextStgDate,BillTxtLnk1,BillTxtLnk2,BillTxtDate,BillTxtTitle,LatestNews,Summary,mpnameuseful,mpid_twfy,mpid_grdn,mpparty,mpmajority,mpentered,mpyearentered,mpconstituency,constid_grdn,mpmatch
http://services.parliament.uk//bills/2010-12/academieshl.html,2010-12,20120509,Academies Act,Government Bill,G,Yes,Yes,Yes,27.07.2010,20.10.2011,Royal Assent,18,Lord Hill of Oareford,Michael Gove,Department for Education,Department for Education,NA,NA,Royal Assent,27.07.2010,NA,NA,http://www.legislation.gov.uk/ukpga/2010/32/pdfs/ukpga_20100032_en.pdf,NA,29.07.2010,,Following agreement by both Houses on the text of the Bill it received Royal Assent on 27 July. The Bill is now an Act of Parliament (law).," u'\n'  The Bill would enable more schools in England to become academies. The Government expects a significant number of academies to open in September 2010, and for the number to grow each year. Academies would be funded at a comparable level to maintained schools but would also get their share of central funding that local authorities used to spend on their behalf. Schools that apply to become academies would be allowed to keep any surplus balances that they hold. There would be no expansion of selection but grammar schools and other schools which select or partially select pupils would be able to continue to do so.    Key areas     enables all maintained schools to apply to become academies, with schools rated 'outstanding' by Ofsted being pre-approved</li><li>allows maintained primary and special schools to apply to become academies in their own right</li><li>gives the Secretary of State the power to issue an academy order requiring the local authority to cease to maintain the school</li><li>removes the requirement to consult the local authority before opening an academy</li><li>requires the consent of any existing foundation (mainly churches) before a school applies to become an academy (and prohibits the religious character changing during the conversion to academy)</li><li>deems academy trusts to be exempt charities.</li></ul> u'\n'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://services.parliament.uk//bills/2010-12/activitycentresyoungpersonssafetyamendment.html,2010-12,20120509,Activity Centres (Young Persons' Safety) (Amendment) Bill,Private Members' Bill (Presentation Bill),PMB-C,Yes,No,No,NA,01.05.2012,Commons,1,Mr Christopher Chope,NA,,NA,NA,NA,1st reading: House of Commons,21.10.2010,NA,NA,http://www.publications.parliament.uk/pa/bills/cbill/2010-2012/0091/cbill_2010-20120091_en_1.htm,http://www.publications.parliament.uk/pa/bills/cbill/2010-2012/0091/2012091.pdf,18.07.2011,Bill 91 2010-2012 (Amendment Bill),The Bill failed to complete its passage through Parliament before the end of the session. This means the Bill will make no further progress., u'\r\n            A Bill to abolish the Adventure Activities Licensing Authority; and for connected purposes.\r\n        ',Christopher Chope,10103,941,Conservative,15410,1983-06-09,1983,Christchurch,821,OK
http://services.parliament.uk//bills/2010-12/adoptionleavepayandallowancearrangements.html,2010-12,20120509,"Adoption (Leave, Pay and Allowance Arrangements) Bill","Private Members' Bill (under the Ten Minute Rule, SO No 23)",PMB-C,Yes,No,No,NA,01.05.2012,Commons,1,Valerie Vaz,NA,,NA,NA,NA,1st reading: House of Commons,29.06.2011,NA,NA,http://www.publications.parliament.uk/pa/bills/cbill/2010-2012/0212/cbill_2010-20120212_en_1.htm,http://www.publications.parliament.uk/pa/bills/cbill/2010-2012/0212/2012212.pdf,19.01.2012,Bill 212 2010-12 (as introduced),The Bill failed to complete its passage through Parliament before the end of the session. This means the Bill will make no further progress.," u'\r\n            A Bill to make provision to equalise leave, pay and allowance arrangements for adoptive parents with those of parents whose children are born to them; to equalise eligibility for adoption leave and pay with that of maternity leave and pay; to equalise the rates of pay for the first six weeks of maternity leave and adoption leave; to equalise the entitlement to allowances for self-employed adopters and self-employed mothers; and for connected purposes\r\n        '",Valerie Vaz,24852,14237,Labour,1755,2010-05-06,2010,Walsall South,1397,OK
http://services.parliament.uk//bills/2010-12/airportsecuritypeoplewithdisabilities.html,2010-12,20120509,Airport Security (People with Disabilities) Bill,"Private Members' Bill (under the Ten Minute Rule, SO No 23)",PMB-C,Yes,No,No,NA,01.05.2012,Commons,1,Tom Blenkinsop,NA,,NA,NA,NA,1st reading: House of Commons,01.02.2012,NA,NA,NA,NA,NA,NA,The Bill failed to complete its passage through Parliament before the end of the session. This means the Bill will make no further progress., u'\r\n            A Bill to require security search arrangements at airports to ensure that appropriate levels of privacy are provided for people with disabilities; and for connected purposes.\r\n        ',Tom Blenkinsop,24848,13527,Labour,1677,2010-05-06,2010,Middlesbrough South and East Cleveland,1129,OK
http://services.parliament.uk//bills/2010-12/airportsamendmenthl.html,2010-12,20120509,Airports (Amendment) Bill [HL],Private Members' Bill (Starting in the House of Lords),PMB-L,Yes,No,No,NA,02.05.2012,Lords,2,Lord Empey,NA,,NA,NA,NA,2nd reading: House of Lords,16.03.2012,NA,NA,http://www.publications.parliament.uk/pa/bills/lbill/2010-2012/0116/lbill_2010-20120116_en_1.htm,http://www.publications.parliament.uk/pa/bills/lbill/2010-2012/0116/2012116.pdf,08.12.2011,HL Bill 116 (To Amend the Airports Act 1986),, u'\r\n            A bill to amend the Airports Act 1986.\r\n        ',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://services.parliament.uk//bills/2010-12/alcoholmarketing.html,2010-12,20120509,Alcohol Marketing Bill,"Private Members' Bill (under the Ten Minute Rule, SO No 23)",PMB-C,Yes,No,No,NA,01.05.2012,Commons,1,Dr Sarah Wollaston,NA,,NA,NA,NA,1st reading: House of Commons,30.03.2011,NA,NA,http://www.publications.parliament.uk/pa/bills/cbill/2010-2012/0176/cbill_2010-20120176_en_1.htm,http://www.publications.parliament.uk/pa/bills/cbill/2010-2012/0176/2012176.pdf,08.09.2011,Bill 176 2010-12 (as introduced),The Bill failed to complete its passage through Parliament before the end of the session. This means the Bill will make no further progress., u'\r\n            A Bill to introduce measures to reduce the exposure of children to the marketing of alcohol products; to make provision to establish the permitted content of marketing of alcohol products; and for connected purposes\r\n        ',Sarah Wollaston,24761,12784,Conservative,4927,2010-05-06,2010,Totnes,1377,OK
http://services.parliament.uk//bills/2010-12/allhallowsstainingchurchhl.html,2010-12,20120509,Allhallows Staining Church Act,Private Bill,PB,No,No,Yes,27.07.2010,15.07.2011,Royal Assent,11,NA,NA,NA,NA,Bircham Dyson Bell LLP,The Clothworkers' Company,Royal Assent,27.07.2010,NA,NA,http://www.publications.parliament.uk,NA,28.07.2010,Allhallows Staining Church Act 2010,," u'\n'  The Bill received Royal Assent on 27 July 2010. It is now an Act of Parliament (i.e. it has become law): Allhallows Staining Church Act 2010 (Chapter v). There will be no further opportunities to present petitions against this Bill.  u'\n'  Summary of the Bill  u'\n'  This Bill removes certain statutory restrictions applying to land which makes up the site of the former church of Allhallows Staining, its churchyard, and other adjoining land in the City of London. It would:    repeal sections 4(2)(b) to (e) of the Allhallows Staining Churchyard Act 1961 to remove certain restrictions placed by the 1961 Act on the churchyard relating to the licensing process when seeking to disturb a grave; accessing a grave in the churchyard; access rights of the incumbent of the united benefices of St Olave Hart Street, Allhallows Staining and St Katherine Coleman; and the erection of buildings on the churchyard  make provision for the legal use, development or disposal of the land stipulated in the Bill. It would, however, be necessary to obtain permissions from any individuals affected along with the normal planning and listed building consents</li><li>impose detailed procedures to be followed by the company (the Livery Company known as the Clothworkers’ Company - the sponsor of the Bill) when seeking to remove human remains</li><li>make provision for the removal and re-erection of tombstones and memorials. The selection of the new location would be agreed by the relative of the deceased person or their representative</li></ul> u'\n'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://services.parliament.uk//bills/2010-12/anonymityarrestedpersons.html,2010-12,20120509,Anonymity (Arrested Persons) Bill,Private Members' Bill (Ballot Bill),PMB-C,Yes,No,No,NA,02.05.2012,Commons,1,Anna Soubry,NA,,NA,NA,NA,1st reading: House of Commons,30.06.2010,NA,NA,http://www.publications.parliament.uk/pa/cm201011/cmbills/009/11009.i-i.html,http://www.publications.parliament.uk/pa/cm201011/cmbills/009/11009.pdf,31.01.2011,Bill 9 2010-11 (as introduced),," u'\n'  The Bill would prohibit the publication or broadcast of the name, address or image of a person arrested for an offence if such information would be likely to lead members of the public to identify him or her as the person suspected of committing that offence. These reporting restrictions would remain in force unless and until the arrested person was charged with the offence for which they had been arrested.   The Bill also provides that, in certain circumstances, a Crown Court judge would be able to direct that the reporting restrictions should not apply, for example if publishing the identity of the suspect might lead to new complainants or witnesses coming forward.  u'\n'",Anna Soubry,24772,9228,Conservative,389,2010-05-06,2010,Broxtowe,772,OK
http://services.parliament.uk//bills/2010-12/apprehensionofburglars.html,2010-12,20120509,Apprehension of Burglars Bill,Private Members' Bill (Presentation Bill),PMB-C,Yes,No,No,NA,01.05.2012,Commons,1,Mr Philip Hollobone,NA,,NA,NA,NA,1st reading: House of Commons,05.07.2010,NA,NA,NA,NA,NA,NA,The Bill failed to complete its passage through Parliament before the end of the session. This means the Bill will make no further progress., u'\r\n            A Bill to provide immunity from prosecution or civil action for persons who apprehend or attempt to apprehend burglars; and for connected purposes. \r\n        ',Philip Hollobone,11661,5964,Conservative,9094,2005-05-05,2005,Kettering,1053,OK
http://services.parliament.uk//bills/2010-12/apprenticeshipsandskillspublicprocurementcontracts.html,2010-12,20120509,Apprenticeships and Skills (Public Procurement Contracts) Bill,"Private Members' Bill (under the Ten Minute Rule, SO No 23)",PMB-C,Yes,No,No,NA,01.05.2012,Commons,1,Catherine McKinnell,NA,,NA,NA,NA,1st reading: House of Commons,14.09.2010,NA,NA,http://www.publications.parliament.uk/pa/bills/cbill/2010-2011/0070/cbill_2010-20110070_en_1.htm,http://www.publications.parliament.uk/pa/bills/cbill/2010-2011/0070/2011070.pdf,03.02.2011,Bill 70 2010-11 (as Introduced),The Bill failed to complete its passage through Parliament before the end of the session. This means the Bill will make no further progress., u'\r\n            A Bill to require certain public procurement contracts let by public authorities to include a commitment by the contractor to provide apprenticeships and skills training; and for connected purposes.\r\n\r\n        ',Catherine McKinnell,24818,11834,Labour,3414,2010-05-06,2010,Newcastle upon Tyne North,1155,OK
