BillURL,SessionYr,DateAccessed,BillName,BillType,BillCat,LastChange,Stage,Sponsor1,Sponsor2,Sponsor1Inst,Sponsor2Inst,Agent,Promoter,LastStg,LastStgDate,NextStg,NextStgDate,BillTxtLnk1,BillTxtLnk2,BillTxtDate,BillTxtTitle,LatestNews,Summary,mpnameuseful,mpid_twfy,mpid_grdn,mpparty,mpmajority,mpentered,mpyearentered,mpconstituency,constid_grdn,mpmatch
http://services.parliament.uk//bills/2007-08/adultswithautism.html,2007-08,20120508,Adults with Autism Bill,"Private Members' Bill (under the Ten Minute Rule, SO No 23)",PMB-C,02.12.2008,Commons,Angela Browning,NA,,NA,NA,NA,1st Reading: House of Commons,20.05.2008,,,,,,,to impose duties upon the Secretary of State and certain organisations involved in health and social care in respect of support for people aged 18 and over with autism; and for connected purposes," u'\n'            Keep up to date with the progress of Bills going through Parliament.          Sign up for email alerts or use our RSS feeds.        u'\n'      RSS feed for this Bill      u'\n'  Related information  u'\n'              Public Bill workshops           u'\n'        Want to learn more about engaging with Parliament’s scrutiny of legislation?       The Houses of Parliament’s Outreach Service holds free regular workshops open to anyone interested in engaging with Public Bills.    u'\n'              Guide to the passage of a Bill          u'\n'        Find out what happens at each stage of a Public Bill’s journey through Parliament      with the Passage of a Bill guide.    u'\n'              When does a Bill become law?          u'\n'        Explanation of what happens after Bills have been passed, and when laws may change.    u'\n'",Angela Browning,NA,NA,NA,NA,NA,NA,NA,NA,MPNotFound
http://services.parliament.uk//bills/2007-08/alcohollabellinghl.html,2007-08,20120508,Alcohol Labelling Bill [HL],Private Members' Bill (Starting in the House of Lords),PMB-L,23.02.2009,Lords,Lord Mitchell,NA,,NA,NA,NA,3rd Reading: House of Lords,01.07.2008,,,http://www.publications.parliament.uk/pa/ld200708/ldbills/064/08064.i.html,,12.06.2008,Bill as amended on Report - html version,The Bill would require alcoholic drinks to be labelled with the following warning:   GOVERNMENT WARNING: Avoid alcohol if pregnant or trying to conceive.," u'\n'            Keep up to date with the progress of Bills going through Parliament.          Sign up for email alerts or use our RSS feeds.        u'\n'      RSS feed for this Bill      u'\n'  Related information  u'\n'              Public Bill workshops           u'\n'        Want to learn more about engaging with Parliament’s scrutiny of legislation?       The Houses of Parliament’s Outreach Service holds free regular workshops open to anyone interested in engaging with Public Bills.    u'\n'              Guide to the passage of a Bill          u'\n'        Find out what happens at each stage of a Public Bill’s journey through Parliament      with the Passage of a Bill guide.    u'\n'              When does a Bill become law?          u'\n'        Explanation of what happens after Bills have been passed, and when laws may change.    u'\n'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://services.parliament.uk//bills/2007-08/alcoholsalesregulationofpricesandpromotion.html,2007-08,20120508,Alcohol Sales (Regulation of Prices and Promotion) Bill,"Private Members' Bill (under the Ten Minute Rule, SO No 23)",PMB-C,20.10.2008,Commons,Ms Sally Keeble,NA,,NA,NA,NA,1st Reading: House of Commons,10.06.2008,,,,,,,"to regulate prices charged for units of alcoholic drinks; to regulate point of sale promotions, advertising and labelling of alcoholic drinks; to establish an industry council to administer the regulation of prices and promotions; and for connected purposes"," u'\n'            Keep up to date with the progress of Bills going through Parliament.          Sign up for email alerts or use our RSS feeds.        u'\n'      RSS feed for this Bill      u'\n'  Related information  u'\n'              Public Bill workshops           u'\n'        Want to learn more about engaging with Parliament’s scrutiny of legislation?       The Houses of Parliament’s Outreach Service holds free regular workshops open to anyone interested in engaging with Public Bills.    u'\n'              Guide to the passage of a Bill          u'\n'        Find out what happens at each stage of a Public Bill’s journey through Parliament      with the Passage of a Bill guide.    u'\n'              When does a Bill become law?          u'\n'        Explanation of what happens after Bills have been passed, and when laws may change.    u'\n'",Sally Keeble,NA,NA,NA,NA,NA,NA,NA,NA,MPNotFound
http://services.parliament.uk//bills/2007-08/allotmentsplanning.html,2007-08,20120508,Allotments (Planning) Bill,"Private Members' Bill (under the Ten Minute Rule, SO No 23)",PMB-C,02.05.2008,Commons,Tony Baldry,NA,,NA,NA,NA,1st Reading: House of Commons,19.02.2008,,,,,,,A Bill to encourage local authorities to make provision for allotments; to require them to consider imposing duties on developers to provide land for statutory allotments when determining planning applications; and for connected purposes," u'\n'            Keep up to date with the progress of Bills going through Parliament.          Sign up for email alerts or use our RSS feeds.        u'\n'      RSS feed for this Bill      u'\n'  Related information  u'\n'              Public Bill workshops           u'\n'        Want to learn more about engaging with Parliament’s scrutiny of legislation?       The Houses of Parliament’s Outreach Service holds free regular workshops open to anyone interested in engaging with Public Bills.    u'\n'              Guide to the passage of a Bill          u'\n'        Find out what happens at each stage of a Public Bill’s journey through Parliament      with the Passage of a Bill guide.    u'\n'              When does a Bill become law?          u'\n'        Explanation of what happens after Bills have been passed, and when laws may change.    u'\n'",Tony Baldry,10023,202,Conservative,18227,1983-06-09,1983,Banbury,683,OK
http://services.parliament.uk//bills/2007-08/animalsact1971amendment.html,2007-08,20120508,Animals Act 1971 (Amendment) Bill,Private Members' Bill (Ballot Bill),PMB-C,07.02.2011,Commons,Stephen Crabb,NA,,NA,NA,NA,2nd Reading: House of Commons,14.03.2008,,,http://www.publications.parliament.uk/pa/cm200708/cmbills/018/08018.i-i.html,,11.03.2008,Bill as introduced - html version,"The Bill aims to reduce the number of instances under the Animals Act 1971 when, following an accident involving certain types of animal, an owner of the animal is strictly liable (that is, liable to pay compensation regardless of whether there is any fault on the owner’s part)."," u'\n'            Keep up to date with the progress of Bills going through Parliament.          Sign up for email alerts or use our RSS feeds.        u'\n'      RSS feed for this Bill      u'\n'  Related information  u'\n'              Public Bill workshops           u'\n'        Want to learn more about engaging with Parliament’s scrutiny of legislation?       The Houses of Parliament’s Outreach Service holds free regular workshops open to anyone interested in engaging with Public Bills.    u'\n'              Guide to the passage of a Bill          u'\n'        Find out what happens at each stage of a Public Bill’s journey through Parliament      with the Passage of a Bill guide.    u'\n'              When does a Bill become law?          u'\n'        Explanation of what happens after Bills have been passed, and when laws may change.    u'\n'",Stephen Crabb,11768,11009,Conservative,4605,2005-05-05,2005,Preseli Pembrokeshire,1231,OK
http://services.parliament.uk//bills/2007-08/armedforcesfederation.html,2007-08,20120508,Armed Forces (Federation) Bill,"Private Members' Bill (under the Ten Minute Rule, SO No 23)",PMB-C,20.06.2008,Commons,Mr Kevan Jones,NA,,NA,NA,NA,1st Reading: House of Commons,13.05.2008,,,,,,,to make provision for the establishment of a Federation of the Armed Forces; and for connected puposes," u'\n'            Keep up to date with the progress of Bills going through Parliament.          Sign up for email alerts or use our RSS feeds.        u'\n'      RSS feed for this Bill      u'\n'  Related information  u'\n'              Public Bill workshops           u'\n'        Want to learn more about engaging with Parliament’s scrutiny of legislation?       The Houses of Parliament’s Outreach Service holds free regular workshops open to anyone interested in engaging with Public Bills.    u'\n'              Guide to the passage of a Bill          u'\n'        Find out what happens at each stage of a Public Bill’s journey through Parliament      with the Passage of a Bill guide.    u'\n'              When does a Bill become law?          u'\n'        Explanation of what happens after Bills have been passed, and when laws may change.    u'\n'",Kevan Jones,11003,7373,Labour,12076,2001-06-07,2001,North Durham,890,OK
http://services.parliament.uk//bills/2007-08/autumnbankholiday.html,2007-08,20120508,Autumn Bank Holiday Bill,"Private Members' Bill (under the Ten Minute Rule, SO No 23)",PMB-C,22.10.2008,Commons,Shona McIsaac,NA,,NA,NA,NA,1st Reading: House of Commons,04.03.2008,,,,,,,A Bill to introduce a bank holiday in the Autumn," u'\n'            Keep up to date with the progress of Bills going through Parliament.          Sign up for email alerts or use our RSS feeds.        u'\n'      RSS feed for this Bill      u'\n'  Related information  u'\n'              Public Bill workshops           u'\n'        Want to learn more about engaging with Parliament’s scrutiny of legislation?       The Houses of Parliament’s Outreach Service holds free regular workshops open to anyone interested in engaging with Public Bills.    u'\n'              Guide to the passage of a Bill          u'\n'        Find out what happens at each stage of a Public Bill’s journey through Parliament      with the Passage of a Bill guide.    u'\n'              When does a Bill become law?          u'\n'        Explanation of what happens after Bills have been passed, and when laws may change.    u'\n'",Shona McIsaac,NA,NA,NA,NA,NA,NA,NA,NA,MPNotFound
http://services.parliament.uk//bills/2007-08/bankholidaycontributionofpolishcitizens.html,2007-08,20120508,Bank Holiday (Contribution of Polish Citizens) Bill,"Private Members' Bill (under the Ten Minute Rule, SO No 23)",PMB-C,16.10.2008,Commons,Daniel Kawczynski,NA,,NA,NA,NA,1st Reading: House of Commons,04.06.2008,,,,,,,to establish a bank holiday to celebrate the contribution of Polish citizens to Great Britain since 1940," u'\n'            Keep up to date with the progress of Bills going through Parliament.          Sign up for email alerts or use our RSS feeds.        u'\n'      RSS feed for this Bill      u'\n'  Related information  u'\n'              Public Bill workshops           u'\n'        Want to learn more about engaging with Parliament’s scrutiny of legislation?       The Houses of Parliament’s Outreach Service holds free regular workshops open to anyone interested in engaging with Public Bills.    u'\n'              Guide to the passage of a Bill          u'\n'        Find out what happens at each stage of a Public Bill’s journey through Parliament      with the Passage of a Bill guide.    u'\n'              When does a Bill become law?          u'\n'        Explanation of what happens after Bills have been passed, and when laws may change.    u'\n'",Daniel Kawczynski,11817,5880,Conservative,7944,2005-05-05,2005,Shrewsbury and Atcham,1286,OK
http://services.parliament.uk//bills/2007-08/bankofenglandamendmenthl.html,2007-08,20120508,Bank of England (Amendment) Bill [HL],Private Members' Bill (Starting in the House of Lords),PMB-L,23.02.2009,Lords,Lord Saatchi,NA,,NA,NA,NA,1st Reading: House of Lords,29.10.2008,2nd reading: House of Lords,Date to be announced,http://www.publications.parliament.uk/pa/ld200708/ldbills/088/080088.1-i.html,,30.10.2008,Bill as Amended in Committee - html version,A Bill to amend the objectives of the Bank of England in relation to monetary policy.," u'\n'            Keep up to date with the progress of Bills going through Parliament.          Sign up for email alerts or use our RSS feeds.        u'\n'      RSS feed for this Bill      u'\n'  Related information  u'\n'              Public Bill workshops           u'\n'        Want to learn more about engaging with Parliament’s scrutiny of legislation?       The Houses of Parliament’s Outreach Service holds free regular workshops open to anyone interested in engaging with Public Bills.    u'\n'              Guide to the passage of a Bill          u'\n'        Find out what happens at each stage of a Public Bill’s journey through Parliament      with the Passage of a Bill guide.    u'\n'              When does a Bill become law?          u'\n'        Explanation of what happens after Bills have been passed, and when laws may change.    u'\n'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://services.parliament.uk//bills/2007-08/banking.html,2007-08,20120508,Banking Act,Government Bill,G,20.11.2009,Royal Assent,Alistair Darling,Lord Davies of Oldham,HM Treasury,HM Treasury,NA,NA,Royal Assent,12.02.2009,,,http://www.opsi.gov.uk/acts/acts2009/ukpga_20090001_en_1,http://www.opsi.gov.uk/acts/acts2009/pdf/ukpga_20090001_en.pdf,16.03.2009,Banking Act 2009 c.1,," u'\r\n            The Bill establishes for the first time a permanent statutory regime for dealing with failing banks, amends related current legislation and makes new provisions for the governance of the Bank of England.'      Key areas        establishes a permanent special resolution regime, providing the authorities with tools to deal with banks that get into financial difficulties. The regime has three options - transfer to a private sector purchaser, transfer to a bridge bank and transfer to temporary public sector ownership  creates a new bank insolvency procedure</li><li>provides for a new bank administration procedure for use where there has been a partial transfer of business from a failing bank</li><li>amends the Financial Services and Markets Act 2000 to enable changes to the Financial Services Compensation Scheme to be made, which fall outside the scope of the existing legislation</li><li>formalises the Bank of England’s role in the oversight of inter-bank payment systems</li><li>repeals legislation governing the issue of banknotes in Scotland and Northern Ireland, limits their issuance to existing issuers and provides for new reserve requirements</li><li>makes provisions relating to the governance of the Bank of England, including a new statutory financial stability objective and the establishment of a Financial Stability Committee.</li></ul> u'\n'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
